Sample ID	Label	chao1
#q2:types	categoric	numeric
11_GT_1	11_GT_1	145
11_GT_2	11_GT_2	166
11_GT_4	11_GT_4	131
11_GT_5	11_GT_5	171
11_GT_6	11_GT_6	168.75
17_BH_1	17_BH_1	251.5
17_BH_2	17_BH_2	285
17_BH_3	17_BH_3	198
17_BH_4	17_BH_4	327.6
17_BH_5	17_BH_5	162
17_BH_6	17_BH_6	215.5
18_SJ_1	18_SJ_1	235
18_SJ_2	18_SJ_2	213.75
18_SJ_3	18_SJ_3	328
18_SJ_4	18_SJ_4	276.5
18_SJ_5	18_SJ_5	181
2_ZM_1	2_ZM_1	291
2_ZM_2	2_ZM_2	237
2_ZM_3	2_ZM_3	211
2_ZM_4	2_ZM_4	287.333333333333
2_ZM_5	2_ZM_5	283
2_ZM_6	2_ZM_6	325.375
30_KM_2	30_KM_2	230
30_KM_3	30_KM_3	287
30_KM_4	30_KM_4	283
30_KM_5	30_KM_5	281.75
30_KM_6	30_KM_6	248.333333333333
35_AJ_1	35_AJ_1	143
35_AJ_2	35_AJ_2	221.75
35_AJ_3	35_AJ_3	130
36_KJ_1	36_KJ_1	205
36_KJ_2	36_KJ_2	247
36_KJ_3	36_KJ_3	324.5
36_KJ_4	36_KJ_4	187
36_KJ_5	36_KJ_5	221
36_KJ_6	36_KJ_6	204
37_SJ_1	37_SJ_1	162
37_SJ_2	37_SJ_2	409.25
37_SJ_3	37_SJ_3	243.5
37_SJ_4	37_SJ_4	254.5
37_SJ_5	37_SJ_5	318
37_SJ_6	37_SJ_6	263
43_BR_1	43_BR_1	187.333333333333
43_BR_2	43_BR_2	215.333333333333
43_BR_3	43_BR_3	211.5
58_NJ_1	58_NJ_1	89
58_NJ_2	58_NJ_2	170
58_NJ_3	58_NJ_3	189
58_NJ_4	58_NJ_4	211.333333333333
58_NJ_5	58_NJ_5	194.5
58_NJ_6	58_NJ_6	233
8_LV_1	8_LV_1	269.1
8_LV_2	8_LV_2	250
8_LV_3	8_LV_3	242
8_LV_4	8_LV_4	136.333333333333
8_LV_5	8_LV_5	299.5
8_LV_6	8_LV_6	235
K10_1	K10_1	526.3
K11_1	K11_1	112
K12_M78_1	K12_1	293.75
K13_1	K13_1	270.333333333333
k14_1	k14_1	389.25
K15_1	K15_1	210
K16_Z75_1	K16_1	219
K17_1	K17_1	103
K18_Z93_1	K18_1	183
K19_1	K19_1	260
K2_1	K2_1	221
K20_1	K20_1	188
K21_1	K21_1	112
K22_1	K22_1	116
K23_1	K23_1	88
K24_1	K24_1	103
K25_1	K25_1	323
K27_1	K27_1	291.333333333333
K3_M78_1	K3_1	142
K30_M95_1	K30_1	97
K31_1	K31_1	257
K32_1	K32_1	151
K33_M78_1	K33_1	271
K34_Z96_1	K34_1	184
K35_M99_1	K35_1	285.2
K36_1	K36_1	254
K37_Z82_1	K37_1	182
K38_1	K38_1	203
K39_1	K39_1	149
K4_Z79_1	K4_1	175
K40_1	K40_1	236.5
K41_1	K41_1	275.5
K42_Z92_1	K42_1	221
K43_1	K43_1	169
K5_Z92_1	K5_1	229.25
K6_M84_1	K6_1	169
K7_Z80_1	K7_1	267.5
K8_Z79_1	K8_1	134
K9_1	K9_1	118
